country_region_code,country_region,sub_region_1,iso_3166_2_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
ID,Indonesia,Aceh,ID-AC,ChIJvcR8UN-bOTARYMogsoCdAwE,1/1/2022,1,21,-11,-18,-35,1
ID,Indonesia,Aceh,ID-AC,ChIJvcR8UN-bOTARYMogsoCdAwE,1/2/2022,17,40,2,-1,-9,-3
ID,Indonesia,Aceh,ID-AC,ChIJvcR8UN-bOTARYMogsoCdAwE,1/3/2022,17,42,-1,-4,-12,-8
ID,Indonesia,Aceh,ID-AC,ChIJvcR8UN-bOTARYMogsoCdAwE,1/4/2022,5,29,-16,-8,-10,-6
ID,Indonesia,Aceh,ID-AC,ChIJvcR8UN-bOTARYMogsoCdAwE,1/5/2022,14,38,-7,-7,-8,-7
ID,Indonesia,Aceh,ID-AC,ChIJvcR8UN-bOTARYMogsoCdAwE,1/6/2022,14,39,-10,-6,-5,-7
ID,Indonesia,Aceh,ID-AC,ChIJvcR8UN-bOTARYMogsoCdAwE,1/7/2022,10,36,-6,-9,-5,-6
ID,Indonesia,Aceh,ID-AC,ChIJvcR8UN-bOTARYMogsoCdAwE,1/8/2022,9,29,-11,-7,-8,-5
ID,Indonesia,Aceh,ID-AC,ChIJvcR8UN-bOTARYMogsoCdAwE,1/9/2022,11,31,-5,-11,-6,-3
ID,Indonesia,Aceh,ID-AC,ChIJvcR8UN-bOTARYMogsoCdAwE,1/10/2022,13,34,-5,1,-8,-7
ID,Indonesia,Aceh,ID-AC,ChIJvcR8UN-bOTARYMogsoCdAwE,1/11/2022,10,33,-3,1,-7,-8
ID,Indonesia,Aceh,ID-AC,ChIJvcR8UN-bOTARYMogsoCdAwE,1/12/2022,8,29,-7,-6,-7,-6
ID,Indonesia,Aceh,ID-AC,ChIJvcR8UN-bOTARYMogsoCdAwE,1/13/2022,12,36,-7,2,-5,-6
ID,Indonesia,Aceh,ID-AC,ChIJvcR8UN-bOTARYMogsoCdAwE,1/14/2022,8,32,-3,-7,-4,-5
ID,Indonesia,Aceh,ID-AC,ChIJvcR8UN-bOTARYMogsoCdAwE,1/15/2022,11,31,0,1,-4,-4
ID,Indonesia,Aceh,ID-AC,ChIJvcR8UN-bOTARYMogsoCdAwE,1/16/2022,12,31,7,-4,-3,-1
ID,Indonesia,Aceh,ID-AC,ChIJvcR8UN-bOTARYMogsoCdAwE,1/17/2022,10,30,-1,-3,-4,-4
ID,Indonesia,Aceh,ID-AC,ChIJvcR8UN-bOTARYMogsoCdAwE,1/18/2022,7,28,-3,-2,-5,-4
ID,Indonesia,Aceh,ID-AC,ChIJvcR8UN-bOTARYMogsoCdAwE,1/19/2022,10,33,-3,-7,-3,-4
ID,Indonesia,Aceh,ID-AC,ChIJvcR8UN-bOTARYMogsoCdAwE,1/20/2022,12,36,-5,-4,-2,-3
ID,Indonesia,Aceh,ID-AC,ChIJvcR8UN-bOTARYMogsoCdAwE,1/21/2022,8,31,-3,-13,-1,-3
ID,Indonesia,Aceh,ID-AC,ChIJvcR8UN-bOTARYMogsoCdAwE,1/22/2022,9,28,0,-7,-1,-2
ID,Indonesia,Aceh,ID-AC,ChIJvcR8UN-bOTARYMogsoCdAwE,1/23/2022,9,27,9,-11,-1,0
ID,Indonesia,Aceh,ID-AC,ChIJvcR8UN-bOTARYMogsoCdAwE,1/24/2022,6,25,-7,-8,-2,-2
ID,Indonesia,Aceh,ID-AC,ChIJvcR8UN-bOTARYMogsoCdAwE,1/25/2022,8,29,-5,-7,-4,-3
ID,Indonesia,Aceh,ID-AC,ChIJvcR8UN-bOTARYMogsoCdAwE,1/26/2022,9,28,-5,-8,-3,-3
ID,Indonesia,Aceh,ID-AC,ChIJvcR8UN-bOTARYMogsoCdAwE,1/27/2022,10,31,-5,-7,-2,-3
ID,Indonesia,Aceh,ID-AC,ChIJvcR8UN-bOTARYMogsoCdAwE,1/28/2022,7,28,-4,-13,-1,-2
ID,Indonesia,Aceh,ID-AC,ChIJvcR8UN-bOTARYMogsoCdAwE,1/29/2022,8,25,-3,-3,0,-1
